vh_links,Order,vh_ratio,vh_ratio_log10
Actinobacteriota,1,510.1525793,2.707700087
Cyanobacteria,2,187.1608616,2.272215036
Bacteroidota,3,138.3312488,2.140920298
Proteobacteria,4,57.45075171,1.759295716
Myxococcota,5,46.30132844,1.665593452
Acidobacteriota,6,40.1457004,1.603639039
Unclassified_bacteria,7,35.61376544,1.551617894
Verrucomicrobiota,8,33.19001887,1.521007499
Nitrospinota,9,26.24743789,1.419086917
Methylomirabilota,10,25.79719116,1.411572422
UBA9089,11,22.49519885,1.352089837
Thermoplasmatota,12,20.83401183,1.318772906
Chloroflexota,13,16.76733706,1.224464095
Nanoarchaeota,14,16.10055362,1.20684081
CG2-30-53-67,15,14.87493901,1.172455194
Campylobacterota,16,13.42360708,1.127869231
Spirochaetota,17,11.24988515,1.051148089
Lindowbacteria,18,9.270139034,0.967086248
Nitrospirota,19,8.957203991,0.952172465
Desulfobacterota,20,8.272203555,0.917621213
Elusimicrobiota,21,6.25740091,0.796393981
Bdellovibrionota,22,5.864891612,0.76825999
KSB1,23,5.759249728,0.76036591
Thermoproteota,24,5.441811658,0.735743507
Eisenbacteria,25,5.258745912,0.720882187
Gemmatimonadota,26,5.191242086,0.715271282
Fibrobacterota,27,4.122132484,0.615121946
Micrarchaeota,28,3.389429904,0.530126657
Iainarchaeota,29,3.246855651,0.511462981
Planctomycetota,30,3.124745972,0.494814717
Patescibacteria,31,2.770777161,0.442601599
Omnitrophota,32,2.134939892,0.329385652
Firestonebacteria,33,1.45744285,0.163591534
Margulisbacteria,34,1.134356445,0.054749543
Aenigmatarchaeota,35,0.44468262,-0.351949844