ID,color_code,note
Desulfobacterota,#20BABA,MAG
Thermoproteota,#424242,MAG
Myxococcota,#4F7756,MAG
Verrucomicrobiota,#7BCCF1,MAG
Hydrogenedentota,#7D2063,MAG
Methylomirabilota,#8085C0,MAG
Acidobacteriota,#8ED3D4,MAG
UBA9089,#A0863B,MAG
Patescibacteria,#C92127,MAG
Cyanobacteria,#CDB9DA,MAG
Chloroflexota,#D32D64,MAG
Actinobacteriota,#E098C2,MAG
Campylobacterota,#E15CA2,MAG
Bdellovibrionota,#E6CBE2,MAG
Bacteroidota,#F2C879,MAG
Verrucomicrobiota_A,#F6E5F0,MAG
Hydrothermarchaeota,#FCFCFC,MAG
Planctomycetota,#7556A4,MAG
Proteobacteria,#228A70,MAG
Nitrospirota,#F37421,MAG
Nanoarchaeota,#2D2D2D,MAG
Omnitrophota,#496EB5,MAG
KSB1,#C6E6DD,MAG
Iainarchaeota,#616161,MAG
Micrarchaeota,#808080,MAG
Gemmatimonadota,#FBF284,MAG
FCPU426,#502E89,MAG
Elusimicrobiota,#30AFE5,MAG
Lindowbacteria,#99C3B6,MAG
Eisenbacteria,#2F1E59,MAG
Aenigmatarchaeota,#BEBEBE,MAG
Firestonebacteria,#70C38D,MAG
Thermoplasmatota,#9F9F9F,MAG
Nitrospinota,#F8A06B,MAG
Spirochaetota,#E5E761,MAG
Desulfobacterota_B,#A8DEEF,MAG
Margulisbacteria,#FFECD5,MAG
Fibrobacterota,#F7EC13,MAG
Bacteria,black,MAG
Poribacteria,#CDB9DA,MAG
Nitrospinota_A,#F99C1C,MAG
CG2-30-53-67,#8AABDA,MAG
Zixibacteria,#E5AC8F,MAG
Water_level_2019,#6CADDE,Environmental_factor
Water_level_2022,#C3E6FC,Environmental_factor
Dissolved_oxygen_content_2019,#F26F77,Environmental_factor
Dissolved_oxygen_content_2022,#FCBEC4,Environmental_factor
Potassium_2019,#9DD374,Environmental_factor
Potassium_2022,#E0F9CA,Environmental_factor
Nitrate_2019,#FAB26B,Environmental_factor
Nitrate_2022,#F9DFC7,Environmental_factor
Sulfur_2019,#AE77B1,Environmental_factor
Sulfur_2022,#F6D7F9,Environmental_factor
Calcium_2019,#E194BC,Environmental_factor
Calcium_2022,#F9D4E9,Environmental_factor
Sodium_2019,#D98868,Environmental_factor
Sodium_2022,#FCD8CD,Environmental_factor
H14_2019,#FFE119,Well
H14_2022,#F2EFBA,Well
H32_2019,#FD7401,Well
H32_2022,#F3A950,Well
H41_2019,#D32626,Well
H41_2022,#EFB1B1,Well
H43_2019,#751267,Well
H43_2022,#D31CB0,Well
H51_2019,#025B40,Well
H51_2022,#B1DDD2,Well
H52_2019,#011C7C,Well
H52_2022,#D5E1F7,Well
H53_2019,#4323C4,Well
H53_2022,#D6CFFF,Well
Oxic,#639CBF,Well_category
Anoxic,#A3A646,Well_category
Carbon utilization,#F291A3,AMG_categories
Energy,#C4E1E5,AMG_categories
MISC,#F79839,AMG_categories
Organic nitrogen,#357368,AMG_categories
Transporter,#B3A4CF,AMG_categories